well,serum,dilution_factor,replicate,fastq
A4,2022poolcol1_h1n1,1,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col1_rep1_S121_R1_001.fastq.gz
B4,2022poolcol2_h1n1,2,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col2_rep1_S122_R1_001.fastq.gz
C4,2022poolcol3_h1n1,4,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col3_rep1_S123_R1_001.fastq.gz
D4,2022poolcol4_h1n1,8,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col4_rep1_S124_R1_001.fastq.gz
E4,2022poolcol5_h1n1,16,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col5_rep1_S125_R1_001.fastq.gz
F4,2022poolcol6_h1n1,32,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col6_rep1_S126_R1_001.fastq.gz
G4,2022poolcol7_h1n1,64,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col7_rep1_S127_R1_001.fastq.gz
H4,2022poolcol8_h1n1,128,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col8_rep1_S128_R1_001.fastq.gz
A5,2022poolcol9_h1n1,256,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col9_rep1_S129_R1_001.fastq.gz
B5,2022poolcol10_h1n1,512,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col10_rep1_S130_R1_001.fastq.gz
