well,serum,dilution_factor,replicate,fastq
C5,2022poolcol11_h1n1,1024,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col11_rep1_S131_R1_001.fastq.gz
D5,2022poolcol12_h1n1,2048,1,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col12_rep1_S132_R1_001.fastq.gz
E5,2022poolcol1_h1n1,1,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col1_rep2_S133_R1_001.fastq.gz
F5,2022poolcol2_h1n1,2,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col2_rep2_S134_R1_001.fastq.gz
G5,2022poolcol3_h1n1,4,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col3_rep2_S135_R1_001.fastq.gz
H5,2022poolcol4_h1n1,8,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col4_rep2_S136_R1_001.fastq.gz
A6,2022poolcol5_h1n1,16,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col5_rep2_S137_R1_001.fastq.gz
B6,2022poolcol6_h1n1,32,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col6_rep2_S138_R1_001.fastq.gz
C6,2022poolcol7_h1n1,64,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col7_rep2_S139_R1_001.fastq.gz
D6,2022poolcol8_h1n1,128,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col8_rep2_S140_R1_001.fastq.gz
E6,2022poolcol9_h1n1,256,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col9_rep2_S141_R1_001.fastq.gz
F6,2022poolcol10_h1n1,512,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col10_rep2_S142_R1_001.fastq.gz
G6,2022poolcol11_h1n1,1024,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col11_rep2_S143_R1_001.fastq.gz
H6,2022poolcol12_h1n1,2048,2,/fh/fast/bloom_j/SR/ngs/illumina/bloom_lab/240206_VH00699_434_AAFGTH5M5/Unaligned/Project_bloom_lab/h1n1_2022pool_col12_rep2_S144_R1_001.fastq.gz
