group,serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as
PooledSera,SCH_PennPreVax_pool,A/AbuDhabi/6753/2023,248.5,interpolated,13.36,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Bangkok/P3599/2023,286,interpolated,10.9,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Bangkok/P3755/2023,209.5,interpolated,0.8209,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Bhutan/0006/2023,274,interpolated,41.42,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Bhutan/0845/2023,233.2,interpolated,19.26,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Bhutan/FLU-BTG-00988/2022,241.9,interpolated,9.967,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Brisbane/429/2023,225.8,interpolated,21.48,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Busan/1301/2023,280,interpolated,36.64,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/California/81/2023,277.4,interpolated,14.43,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Cambodia/e0826360/2020,455.9,interpolated,35.71,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Cambodia/e0826360/2020egg,1681,interpolated,316,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Catalonia/2041146NS/2023,208.4,interpolated,19.43,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Catalonia/NSVH102124476/2023,206.4,interpolated,13.64,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Chipata/15-NIC-001/2023,355.7,interpolated,27.12,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Darwin/6/2021,215.8,interpolated,19.33,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Darwin/9/2021,1713,interpolated,72.05,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/EHIME/50/2023,281.9,interpolated,30.14,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Finland/391/2023,225.3,interpolated,22.74,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Finland/399/2023,333.3,interpolated,57.74,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Georgia/40/2023,302.2,interpolated,6.253,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Guangdong-Futian/1980/2023,269.5,interpolated,25.37,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/HongKong/2671/2019,2429,interpolated,195,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/HongKong/45/2019,750.3,interpolated,40.73,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/HongKong/4801/2014,999.3,interpolated,162.3,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/HongKong/4801/2014egg,5515,interpolated,1226,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Jeju/1047/2023,317,interpolated,30.63,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/KANAGAWA/AC2316/2023,270.5,interpolated,37.51,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/KANAGAWA/IC2239/2023,266,interpolated,22.54,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Kansas/14/2017,658.6,interpolated,108.8,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Krabi/THIS050/2023,243,interpolated,18.19,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Luga/RII-11393S/2023,204.1,interpolated,21.6,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Malaysia/IMR-SARI1989/2023,335.4,interpolated,12.11,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Maldives/852/2023,274.8,interpolated,37.14,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Massachusetts/18/2022,308,interpolated,3.228,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Netherlands/01685/2023,321.8,interpolated,12.57,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Netherlands/01693/2023,306.3,interpolated,32.35,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Netherlands/01760/2023,343.6,interpolated,30.68,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Oman/3011/2023,246.9,interpolated,20.99,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Ontario/RV00796/2023,249.1,interpolated,17.69,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Romania/543634/2022,359,interpolated,30.57,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SENDAI/45/2023,213.2,interpolated,17.56,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SOUTHAFRICA/R07876/202023,335.6,interpolated,42.37,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Saint-Petersburg/RII-166/2023,270.3,interpolated,1.755,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SamutSongkhram/THIS061/2023,266.8,interpolated,13.45,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Saskatchewan/SKFLU317847/2023,259.9,interpolated,29.47,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Schleswig-Holstein/4/2023,331.4,interpolated,18.62,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Singapore/INFIMH-16-0019/2016,1009,interpolated,60.57,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Singapore/INFIMH-16-0019/2016X-307A,1802,interpolated,449.6,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Solwezi/13-NIC-001/2023,204.9,interpolated,22.16,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthAfrica/K056863/2023,241.6,interpolated,73.76,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthAfrica/K056872/2023,258.8,interpolated,14.51,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthAfrica/PET28931/2023,302.5,interpolated,16.24,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthAfrica/R05384/2023,261.1,interpolated,3.117,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthAfrica/R05510/2023,447.8,interpolated,18.89,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthAfrica/R06240/2023,340.7,interpolated,8.212,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthAfrica/R06359/2023,231.7,interpolated,7.522,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthAfrica/R06477/2023,326.5,interpolated,14.95,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthAfrica/R06506/2023,224.2,interpolated,72.27,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthAfrica/R07073/2023,297.5,interpolated,3.694,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthAfrica/R07188/2023,295.9,interpolated,50.74,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthDakota/22/2023,257.6,interpolated,10.67,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthSudan/631/2023,232,interpolated,41.27,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SouthSudan/642/2023,243.9,interpolated,12.27,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/SuratThani/P152/2023,390.3,interpolated,46.35,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Switzerland/9715293/2013,378,interpolated,33.24,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Switzerland/9715293/2013NIB-88,1180,interpolated,36.19,2,midpoint
PooledSera,SCH_PennPreVax_pool,A/Sydney/332/2023,288.6,interpolated,44.44,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Sydney/710/2023,217.1,interpolated,0.9716,3,midpoint
PooledSera,SCH_PennPreVax_pool,A/Sydney/715/2023,316.6,interpolated,54.72,3,midpoint
